fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,5
6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5
9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5
5.9,0.5,0.05,2.6,0.054,36,146,0.9948,3.43,0.5,9.2,6
6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5
7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,5
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,6
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7
8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6
7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6
7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6
6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6
7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,6
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6
7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,6
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5
7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4
8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6
6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4
6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,6
6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7
9.9,0.49,0.23,2.4,0.087,19,115,0.9948,2.77,0.44,9.4,6
8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
8.4,0.22,0.28,18.8,0.028,55,130,0.998,2.96,0.35,11.6,5
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.4,0.19,0.3,12.8,0.053,48.5,212,0.9986,3.14,0.49,9.1,7
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5
6,0.34,0.24,5.4,0.06,23,126,0.9951,3.25,0.44,9,7
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6
8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6
7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,6
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6
7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7
6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6
9.2,0.23,0.35,10.7,0.037,34,145,0.9981,3.09,0.32,9.7,5
7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5
6,0.28,0.27,2.3,0.051,23,147,0.994,3.23,0.67,10.3,6
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5
7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6
6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7
6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,6
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6
7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6
6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7
6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7
7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,5
7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6
6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7
7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,6
7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,6
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5
6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,5
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6
8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6
6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6
6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5
6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6
6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6
6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,6
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7
7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6
6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7
6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7
7.3,0.3,0.33,2.3,0.043,28,125,0.99084,3.34,0.44,12.6,7
6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5
6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,5
6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5
7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7
7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6
7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,7
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6
4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5
6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6
7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,6
6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6
7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5
6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5
6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6
7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4
7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7
6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5
7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5
6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5
8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6
8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,5
7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5
7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6
7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5
6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5
8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5
6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6
6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,6
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6
9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5
6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5
7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5
7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5
6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
